26,16.0,19.0,33.0,34.0,7@#1086,16.0,19.0,33.0,34.0,7
27,13.0,14.0,37.0,40.0,0@#81,13.0,14.0,37.0,40.0,0
28,33.0,36.0,12.0,14.0,4@#638,33.0,36.0,12.0,14.0,4
29,10.0,11.0,35.0,38.0,9@#1386,10.0,11.0,35.0,38.0,9
30,13.0,15.0,34.0,35.0,0@#84,13.0,15.0,34.0,35.0,0
31,12.0,15.0,10.0,11.0,7@#1016,12.0,15.0,10.0,11.0,7
32,42.0,44.0,50.0,53.0,4@#622,42.0,44.0,50.0,53.0,4
33,13.0,16.0,46.0,47.0,3@#489,13.0,16.0,46.0,47.0,3
34,37.0,39.0,32.0,33.0,1@#250,37.0,39.0,32.0,33.0,1
35,48.0,50.0,5.0,7.0,3@#473,48.0,50.0,5.0,7.0,3
36,20.0,27.0,10.0,11.0,4@#594,20.0,27.0,10.0,11.0,4
37,6.0,7.0,21.0,23.0,6@#850,6.0,7.0,21.0,23.0,6
38,24.0,27.0,52.0,55.0,4@#627,24.0,27.0,52.0,55.0,4
39,25.0,26.0,12.0,15.0,3@#437,25.0,26.0,12.0,15.0,3
40,16.0,19.0,15.0,16.0,7@#999,16.0,19.0,15.0,16.0,7
41,13.0,16.0,24.0,27.0,2@#299,13.0,16.0,24.0,27.0,2
42,18.0,20.0,33.0,36.0,9@#1368,18.0,20.0,33.0,36.0,9
43,34.0,35.0,36.0,38.0,8@#1222,34.0,35.0,36.0,38.0,8
44,37.0,40.0,5.0,9.0,7@#1046,37.0,40.0,5.0,9.0,7
45,33.0,34.0,7.0,10.0,1@#203,33.0,34.0,7.0,10.0,1
46,33.0,34.0,37.0,39.0,9@#1366,33.0,34.0,37.0,39.0,9
47,5.0,6.0,10.0,12.0,1@#142,5.0,6.0,10.0,12.0,1
48,11.0,12.0,49.0,50.0,8@#1239,11.0,12.0,49.0,50.0,8
49,42.0,43.0,29.0,32.0,7@#1125,42.0,43.0,29.0,32.0,7
50,49.0,50.0,42.0,43.0,3@#538,49.0,50.0,42.0,43.0,3
51,12.0,15.0,40.0,42.0,8@#1206,12.0,15.0,40.0,42.0,8
52,48.0,49.0,30.0,32.0,4@#703,48.0,49.0,30.0,32.0,4
53,15.0,16.0,17.0,19.0,8@#1143,15.0,16.0,17.0,19.0,8
54,13.0,14.0,8.0,10.0,4@#571,13.0,14.0,8.0,10.0,4
55,12.0,13.0,37.0,39.0,7@#1068,12.0,13.0,37.0,39.0,7
56,48.0,50.0,32.0,40.0,6@#964,48.0,50.0,32.0,40.0,6
57,40.0,44.0,32.0,36.0,2@#382,40.0,44.0,32.0,36.0,2
58,16.0,20.0,44.0,48.0,1@#210,16.0,20.0,44.0,48.0,1
59,50.0,55.0,13.0,16.0,8@#1166,50.0,55.0,13.0,16.0,8
60,50.0,60.0,50.0,60.0,1@#175,50.0,60.0,50.0,60.0,1
61,48.0,50.0,32.0,40.0,5@#823,48.0,50.0,32.0,40.0,5
62,40.0,48.0,48.0,50.0,2@#403,40.0,48.0,48.0,50.0,2
63,48.0,50.0,10.0,12.0,4@#674,48.0,50.0,10.0,12.0,4
64,10.0,12.0,40.0,48.0,4@#678,10.0,12.0,40.0,48.0,4
65,32.0,36.0,39.0,40.0,4@#655,32.0,36.0,39.0,40.0,4
66,48.0,50.0,28.0,32.0,6@#985,48.0,50.0,28.0,32.0,6
67,20.0,28.0,48.0,50.0,5@#828,20.0,28.0,48.0,50.0,5
68,24.0,28.0,20.0,21.0,2@#301,24.0,28.0,20.0,21.0,2
69,28.0,32.0,50.0,55.0,4@#694,28.0,32.0,50.0,55.0,4
70,36.0,40.0,44.0,48.0,3@#496,36.0,40.0,44.0,48.0,3
71,26.0,28.0,36.0,39.0,4@#660,26.0,28.0,36.0,39.0,4
72,10.0,12.0,32.0,40.0,1@#258,10.0,12.0,32.0,40.0,1
73,48.0,50.0,10.0,12.0,2@#392,48.0,50.0,10.0,12.0,2
74,40.0,44.0,5.0,10.0,8@#1184,40.0,44.0,5.0,10.0,8
75,12.0,20.0,10.0,12.0,3@#452,12.0,20.0,10.0,12.0,3
76,50.0,55.0,10.0,13.0,3@#458,50.0,55.0,10.0,13.0,3
77,24.0,28.0,44.0,48.0,6@#921,24.0,28.0,44.0,48.0,6
78,16.0,20.0,24.0,28.0,7@#1009,16.0,20.0,24.0,28.0,7
79,32.0,40.0,10.0,12.0,8@#1250,32.0,40.0,10.0,12.0,8
80,20.0,24.0,50.0,55.0,1@#201,20.0,24.0,50.0,55.0,1
81,21.0,24.0,24.0,26.0,8@#1152,21.0,24.0,24.0,26.0,8
82,20.0,21.0,24.0,28.0,0@#23,20.0,21.0,24.0,28.0,0
83,36.0,40.0,50.0,55.0,1@#202,36.0,40.0,50.0,55.0,1
84,50.0,55.0,16.0,20.0,9@#1310,50.0,55.0,16.0,20.0,9
85,12.0,16.0,36.0,40.0,8@#1209,12.0,16.0,36.0,40.0,8
86,28.0,32.0,36.0,48.0,2@#418,28.0,32.0,36.0,48.0,2
87,0.0,10.0,0.0,10.0,1@#141,0.0,10.0,0.0,10.0,1
88,12.0,16.0,16.0,20.0,1@#156,12.0,16.0,16.0,20.0,1
89,12.0,16.0,24.0,28.0,8@#1145,12.0,16.0,24.0,28.0,8
90,39.0,40.0,24.0,28.0,1@#242,39.0,40.0,24.0,28.0,1
91,10.0,13.0,50.0,55.0,0@#51,10.0,13.0,50.0,55.0,0
92,10.0,12.0,40.0,48.0,5@#819,10.0,12.0,40.0,48.0,5
93,26.0,28.0,21.0,24.0,4@#585,26.0,28.0,21.0,24.0,4
94,13.0,16.0,50.0,55.0,6@#900,13.0,16.0,50.0,55.0,6
95,12.0,24.0,28.0,32.0,4@#697,12.0,24.0,28.0,32.0,4
96,20.0,28.0,48.0,50.0,9@#1392,20.0,28.0,48.0,50.0,9
97,12.0,16.0,44.0,48.0,4@#630,12.0,16.0,44.0,48.0,4
98,50.0,55.0,32.0,36.0,3@#472,50.0,55.0,32.0,36.0,3
99,5.0,10.0,20.0,24.0,2@#286,5.0,10.0,20.0,24.0,2
100,24.0,28.0,50.0,55.0,6@#909,24.0,28.0,50.0,55.0,6
101,40.0,44.0,12.0,16.0,8@#1196,40.0,44.0,12.0,16.0,8
102,32.0,36.0,50.0,55.0,5@#769,32.0,36.0,50.0,55.0,5
103,28.0,32.0,36.0,48.0,3@#559,28.0,32.0,36.0,48.0,3
104,50.0,60.0,0.0,10.0,5@#737,50.0,60.0,0.0,10.0,5
105,36.0,39.0,26.0,28.0,9@#1376,36.0,39.0,26.0,28.0,9
106,39.0,40.0,32.0,36.0,6@#949,39.0,40.0,32.0,36.0,6
107,16.0,20.0,50.0,55.0,6@#903,16.0,20.0,50.0,55.0,6
108,24.0,28.0,20.0,21.0,5@#724,24.0,28.0,20.0,21.0,5
109,24.0,26.0,36.0,39.0,2@#375,24.0,26.0,36.0,39.0,2
110,20.0,28.0,48.0,50.0,0@#123,20.0,28.0,48.0,50.0,0
111,36.0,39.0,24.0,26.0,6@#950,36.0,39.0,24.0,26.0,6
112,44.0,48.0,40.0,44.0,2@#361,44.0,48.0,40.0,44.0,2
113,20.0,24.0,50.0,55.0,9@#1329,20.0,24.0,50.0,55.0,9
114,40.0,44.0,50.0,55.0,0@#58,40.0,44.0,50.0,55.0,0
115,10.0,12.0,48.0,50.0,5@#816,10.0,12.0,48.0,50.0,5
116,28.0,32.0,5.0,10.0,7@#1116,28.0,32.0,5.0,10.0,7
117,32.0,36.0,40.0,44.0,7@#1075,32.0,36.0,40.0,44.0,7
118,21.0,24.0,32.0,34.0,8@#1236,21.0,24.0,32.0,34.0,8
119,32.0,36.0,16.0,20.0,2@#368,32.0,36.0,16.0,20.0,2
120,24.0,28.0,40.0,44.0,7@#1074,24.0,28.0,40.0,44.0,7
121,40.0,44.0,44.0,48.0,8@#1198,40.0,44.0,44.0,48.0,8
122,0.0,10.0,0.0,10.0,9@#1269,0.0,10.0,0.0,10.0,9
123,40.0,48.0,10.0,12.0,1@#260,40.0,48.0,10.0,12.0,1
124,48.0,50.0,40.0,48.0,6@#961,48.0,50.0,40.0,48.0,6
125,32.0,36.0,12.0,16.0,9@#1343,32.0,36.0,12.0,16.0,9
126,41.0,43.0,47.0,53.0,5@#826,41.0,43.0,48.0,50.0,5#775,41.0,43.0,47.0,48.0,5#763,41.0,43.0,50.0,53.0,5
127,34.0,38.0,9.0,11.0,6@#968,34.0,38.0,10.0,11.0,6#905,36.0,38.0,9.0,10.0,6#908,34.0,36.0,9.0,10.0,6
128,50.0,56.0,7.0,11.0,7@#1022,50.0,55.0,10.0,11.0,7#1097,50.0,50.0,10.0,11.0,7#1037,50.0,50.0,7.0,10.0,7#1019,50.0,56.0,7.0,10.0,7
129,49.0,51.0,7.0,15.0,3@#536,49.0,50.0,12.0,15.0,3#461,50.0,51.0,13.0,15.0,3#458,50.0,51.0,10.0,13.0,3#533,49.0,50.0,10.0,12.0,3#473,49.0,50.0,7.0,10.0,3#455,50.0,51.0,7.0,10.0,3
130,41.0,43.0,27.0,31.0,5@#803,41.0,43.0,27.0,28.0,5#843,41.0,43.0,28.0,31.0,5
131,37.0,45.0,37.0,39.0,0@#82,44.0,45.0,37.0,39.0,0#127,37.0,44.0,37.0,39.0,0
132,45.0,47.0,19.0,23.0,4@#644,45.0,47.0,20.0,23.0,4#641,45.0,47.0,19.0,20.0,4
133,17.0,23.0,45.0,49.0,5@#828,20.0,23.0,48.0,49.0,5#777,20.0,23.0,45.0,48.0,5#825,17.0,20.0,48.0,49.0,5#774,17.0,20.0,45.0,48.0,5
134,26.0,30.0,10.0,12.0,4@#699,28.0,30.0,12.0,12.0,4#578,26.0,28.0,12.0,12.0,4#698,28.0,30.0,10.0,12.0,4#594,26.0,28.0,10.0,12.0,4#693,28.0,30.0,10.0,10.0,4#574,26.0,28.0,10.0,10.0,4
135,18.0,24.0,41.0,43.0,9@#1356,24.0,24.0,41.0,43.0,9#1395,18.0,24.0,41.0,43.0,9
136,41.0,47.0,26.0,28.0,9@#1352,44.0,47.0,26.0,28.0,9#1367,41.0,44.0,26.0,28.0,9#1407,41.0,47.0,28.0,28.0,9
137,45.0,49.0,48.0,50.0,8@#1243,48.0,49.0,48.0,48.0,8#1240,48.0,49.0,48.0,50.0,8#1180,47.0,49.0,50.0,50.0,8#1195,45.0,48.0,48.0,48.0,8#1183,45.0,47.0,50.0,50.0,8#1249,45.0,48.0,48.0,50.0,8
138,22.0,26.0,6.0,12.0,6@#860,24.0,26.0,12.0,12.0,6#859,22.0,24.0,12.0,12.0,6#876,22.0,26.0,10.0,12.0,6#856,24.0,26.0,6.0,10.0,6#855,22.0,24.0,6.0,10.0,6
139,26.0,32.0,11.0,15.0,4@#699,28.0,32.0,12.0,15.0,4#638,32.0,32.0,12.0,15.0,4#578,26.0,28.0,12.0,15.0,4#686,32.0,32.0,11.0,12.0,4#698,28.0,32.0,11.0,12.0,4#594,26.0,28.0,11.0,12.0,4
